tag,n_reviews,n_toxic,toxicity_rate,toxicity_pct
Epic,673623,14116,0.020955341489230624,2.0955341489230626
Movie,55157,1154,0.020922095110321445,2.0922095110321446
LGBTQ+,667207,13859,0.020771664565869364,2.0771664565869363
America,637463,13202,0.020710221612862238,2.0710221612862236
Physics,2521725,52017,0.020627546619873302,2.0627546619873303
Co-op Campaign,621523,12790,0.020578482212243152,2.057848221224315
Silent Protagonist,156706,3215,0.02051612573864434,2.051612573864434
Top-Down Shooter,457707,9390,0.02051530782793359,2.051530782793359
2D Platformer,777421,15814,0.020341616704462575,2.0341616704462573
Boxing,24826,505,0.020341577378554743,2.034157737855474
Arcade,2555580,51650,0.020210676245705477,2.0210676245705477
Warhammer 40K,438206,8838,0.02016859650484019,2.0168596504840193
Heist,242898,4883,0.020103088539222224,2.0103088539222225
Flight,897885,18023,0.020072726462743003,2.0072726462743002
MMORPG,1200919,23956,0.01994805644677118,1.994805644677118
Third Person,8413525,167618,0.019922446299262198,1.9922446299262198
Controller,3893136,77275,0.01984903686899199,1.984903686899199
Assassin,415783,8249,0.019839675984828626,1.9839675984828626
Swordplay,827090,16382,0.01980679248933006,1.9806792489330058
Anime,3541504,70023,0.01977210812129536,1.977210812129536
Twin Stick Shooter,261436,5158,0.019729494025306386,1.9729494025306387
Comic Book,774868,15228,0.019652379502057126,1.9652379502057127
Local Co-Op,1863483,36599,0.019640104041732605,1.9640104041732604
Bowling,9587,187,0.019505580473557944,1.9505580473557944
Villain Protagonist,185425,3609,0.01946339490359984,1.946339490359984
Trivia,32740,635,0.01939523518631643,1.939523518631643
Western,492560,9510,0.0193072925125873,1.93072925125873
Gaming,56900,1096,0.019261862917398946,1.9261862917398946
Video Production,65011,1252,0.019258279368106937,1.9258279368106936
Robots,1224104,23453,0.019159319796357172,1.9159319796357173
Soundtrack,555374,10574,0.01903942208313677,1.9039422083136768
Character Customization,5299796,100811,0.01902167555128537,1.902167555128537
Precision Platformer,469538,8917,0.01899100818251132,1.899100818251132
Classic,2768600,52554,0.0189821570468829,1.89821570468829
Faith,67364,1278,0.01897155750846149,1.8971557508461492
Casual,7803013,148005,0.018967673128315946,1.8967673128315945
Wrestling,32275,612,0.018962044926413634,1.8962044926413635
Volleyball,906,17,0.018763796909492272,1.8763796909492272
Cult Classic,470718,8805,0.018705466967483715,1.8705466967483715
Minigames,209345,3896,0.01861042776278392,1.861042776278392
Aliens,1072948,19840,0.01849111047320094,1.8491110473200938
Shoot 'Em Up,423981,7813,0.018427712562591247,1.8427712562591247
Political Sim,195358,3591,0.01838163781365493,1.8381637813654932
Tennis,8492,156,0.018370230805463968,1.8370230805463967
Board Game,432980,7951,0.018363434800683635,1.8363434800683636
Visual Novel,1349597,24713,0.01831139221560214,1.831139221560214
Strategy,12159325,222082,0.018264336219321387,1.8264336219321387
Wargame,651666,11888,0.01824247390534415,1.824247390534415
Sokoban,38824,708,0.018236142592211003,1.8236142592211002
Psychedelic,296481,5396,0.018200154478701838,1.8200154478701838
Tabletop,321217,5846,0.0181995348938568,1.8199534893856801
Old School,687877,12502,0.018174760894752985,1.8174760894752986
Survival,6435383,116791,0.01814825939652698,1.8148259396526982
Post-apocalyptic,2446226,44311,0.018114025441639488,1.8114025441639487
Politics,257558,4665,0.018112425162487674,1.8112425162487673
Level Editor,936565,16763,0.017898383988297663,1.7898383988297664
Romance,1136101,20327,0.0178918951748128,1.7891895174812802
Capitalism,519810,9296,0.017883457417133184,1.7883457417133184
Futuristic,1704964,30455,0.017862547244399295,1.7862547244399296
VR,2083783,37064,0.01778688087963094,1.778688087963094
Historical,2497683,44319,0.01774404518107382,1.774404518107382
Sci-fi,7320209,128489,0.017552640915033984,1.7552640915033983
Mod,349999,6115,0.017471478489938543,1.7471478489938543
Mining,315348,5499,0.017437878153658815,1.7437878153658815
Rhythm,643275,11208,0.017423341494695113,1.7423341494695113
Strategy RPG,810654,14048,0.01732921813745445,1.7329218137454452
Unforgiving,107739,1861,0.017273225108827815,1.7273225108827814
Skating,48846,841,0.01721737706260492,1.721737706260492
Crowdfunded,99901,1718,0.017197025054804256,1.7197025054804256
Parkour,1474167,25346,0.01719343873523149,1.7193438735231488
Ninja,683272,11742,0.017184957088831387,1.7184957088831387
Dark,3438336,58896,0.017129215992852356,1.7129215992852356
Retro,2392184,40967,0.017125354905809922,1.7125354905809922
Instrumental Music,9289,159,0.017117020131338142,1.711702013133814
Based On A Novel,119745,2047,0.017094659484738404,1.7094659484738404
Great Soundtrack,10532657,179719,0.01706302597720594,1.7063025977205941
Pinball,29161,494,0.016940434141490348,1.6940434141490348
Atmospheric,14434310,244479,0.016937352738024887,1.6937352738024887
Feature Film,2008,34,0.01693227091633466,1.693227091633466
Skateboarding,39057,661,0.016923982896791867,1.6923982896791867
Looter Shooter,1017357,17190,0.01689672356901265,1.6896723569012648
3D,4348096,73442,0.016890611430842372,1.6890611430842373
Singleplayer,26961344,455104,0.016879870677070103,1.6879870677070103
Bullet Hell,1060057,17838,0.0168273970173302,1.6827397017330201
Remake,1017590,17078,0.01678279071138671,1.6782790711386708
Immersive,174842,2928,0.016746548312190433,1.6746548312190432
Voice Control,6202,103,0.016607545952918412,1.6607545952918412
Addictive,566286,9393,0.01658702493086532,1.6587024930865322
3D Vision,290278,4795,0.016518647641226687,1.6518647641226687
Perma Death,955015,15769,0.016511782537447055,1.6511782537447055
2.5D,671174,11077,0.01650391701704774,1.6503917017047742
Simulation,9807618,161570,0.016473928735805166,1.6473928735805166
Diplomacy,629508,10360,0.01645729680957192,1.645729680957192
Animation & Modeling,144078,2371,0.016456363913991034,1.6456363913991034
Games Workshop,615722,10131,0.01645385417444886,1.6453854174448859
Naval,372336,6111,0.016412595075415752,1.6412595075415752
Mechs,496716,8149,0.016405752985609482,1.6405752985609483
Dog,94546,1550,0.01639413618767584,1.639413618767584
Loot,1098648,17996,0.01638013267215705,1.638013267215705
2D,7875191,128703,0.016342841716473926,1.6342841716473926
Time Attack,99677,1628,0.01633275479799753,1.633275479799753
Mythology,721500,11780,0.01632709632709633,1.6327096327096329
Hacking,183903,3001,0.016318385235694906,1.6318385235694906
Linear,671867,10951,0.01629935686676083,1.629935686676083
Adventure,18970450,308900,0.016283219428110562,1.6283219428110562
World War I,126965,2062,0.01624069625487339,1.6240696254873388
Souls-like,1602453,25977,0.016210771860391538,1.6210771860391537
Open World,11567085,187204,0.016184198525384746,1.6184198525384748
Motocross,16254,263,0.016180632459702228,1.6180632459702229
Sailing,282069,4556,0.016152076265027352,1.6152076265027353
Trading Card Game,197756,3188,0.01612087623131536,1.6120876231315358
Political,338290,5433,0.016060185048331312,1.6060185048331312
Text-Based,264010,4229,0.01601833263891519,1.6018332638915191
Pixel Graphics,3989747,63852,0.016004022310186584,1.6004022310186585
Dragons,492818,7877,0.015983588261792386,1.5983588261792385
Story Rich,11337429,180882,0.015954410828063398,1.5954410828063397
Noir,314135,5003,0.01592627373581422,1.592627373581422
Clicker,449580,7153,0.015910405267138217,1.5910405267138217
Cartoony,1467261,23316,0.01589083332822177,1.589083332822177
Sandbox,7467571,118484,0.01586647117248701,1.586647117248701
Music,761207,12020,0.015790711330820658,1.5790711330820657
Racing,973410,15346,0.01576519657698195,1.576519657698195
Colorful,3767123,59335,0.015750746657329746,1.5750746657329746
Musou,39544,622,0.01572931418167105,1.572931418167105
Action-Adventure,3341483,52429,0.015690338690934533,1.5690338690934533
Spelling,9307,146,0.015687117223595143,1.5687117223595144
Boss Rush,22225,348,0.015658042744656916,1.5658042744656917
Family Friendly,3460509,54145,0.015646542170530405,1.5646542170530404
Medical Sim,52355,819,0.015643205042498328,1.5643205042498327
Horses,158407,2477,0.015636935236447883,1.5636935236447884
Lemmings,14517,227,0.015636839567403735,1.5636839567403735
Action Roguelike,1259156,19687,0.015635076193894957,1.5635076193894957
Motorbike,49840,779,0.015630016051364368,1.5630016051364368
Pirates,333410,5169,0.015503434210131669,1.5503434210131668
Hack and Slash,2653391,41106,0.01549187436001705,1.549187436001705
Thriller,397476,6155,0.015485211685737,1.5485211685737001
Side Scroller,1512509,23393,0.015466354249792895,1.5466354249792895
Replay Value,2681416,41350,0.0154209566885556,1.5420956688555598
Indie,13699091,211111,0.015410584541704263,1.5410584541704262
Artificial Intelligence,277137,4258,0.015364242233985357,1.5364242233985357
GameMaker,94726,1453,0.0153389776830015,1.53389776830015
Cute,4062123,62236,0.015321052562908607,1.5321052562908606
Voxel,329936,5046,0.015293875175791668,1.5293875175791667
Asynchronous Multiplayer,123762,1890,0.01527124642458913,1.5271246424589129
RPG,10698642,163150,0.01524959896779423,1.524959896779423
Drama,744553,11350,0.015244045756312849,1.524404575631285
Vampire,258019,3889,0.015072533418081614,1.5072533418081613
Fantasy,5947786,88904,0.014947410683572004,1.4947410683572004
Snowboarding,34632,517,0.014928389928389928,1.4928389928389927
Elf,2950,44,0.014915254237288136,1.4915254237288136
Medieval,1883616,28033,0.014882545062263221,1.4882545062263222
On-Rails Shooter,34882,518,0.014850065936586205,1.4850065936586205
Action RPG,3745737,55284,0.014759178233816202,1.4759178233816201
360 Video,5761,85,0.014754382919632008,1.4754382919632008
Outbreak Sim,28117,414,0.014724188213536295,1.4724188213536296
Immersive Sim,1497954,22042,0.014714737568710388,1.4714737568710388
Runner,95698,1404,0.014671153002152605,1.4671153002152606
Hand-drawn,1460918,21303,0.014581927253959497,1.4581927253959497
