label,arm,model,bucket,n,prev,auc_pr,auc_roc
count,content_agnostic+ban,svc,2-4,202184,0.04591362323428164,0.046392882068698175,0.4924713829072505
count,content_agnostic+ban,svc,5-9,48404,0.10885464011238741,0.10831383285273968,0.4913870225586634
count,content_agnostic+ban,svc,>=10,21017,0.23100347337869345,0.24113729165245892,0.4959488449276004
count,content_agnostic+ban,xgb,1,349286,0.015543136570031436,0.01848296018329375,0.5409053965042707
count,content_agnostic+ban,xgb,2-4,202184,0.04591362323428164,0.0556966005941835,0.5575010864340864
count,content_agnostic+ban,xgb,5-9,48404,0.10885464011238741,0.12758697223985466,0.5547749331034948
count,content_agnostic+ban,xgb,>=10,21017,0.23100347337869345,0.271560533419387,0.5625511380587719
count,content_agnostic,histgb,1,349286,0.015543136570031436,0.018231547316839226,0.54171454466196
count,content_agnostic,histgb,2-4,202184,0.04591362323428164,0.05461330100725461,0.5545061031588785
count,content_agnostic,histgb,5-9,48404,0.10885464011238741,0.12547041120766195,0.549747706902878
count,content_agnostic,histgb,>=10,21017,0.23100347337869345,0.27686186653729394,0.5714618567845059
count,content_agnostic,lgbm,1,349286,0.015543136570031436,0.01830085049656676,0.5417455643270359
count,content_agnostic,lgbm,2-4,202184,0.04591362323428164,0.05497855433181305,0.5545834173384252
count,content_agnostic,lgbm,5-9,48404,0.10885464011238741,0.12565178077600003,0.5527926300403978
count,content_agnostic,lgbm,>=10,21017,0.23100347337869345,0.2760983866672324,0.570642322437942
count,content_agnostic,linsvc,1,349286,0.015543136570031436,0.017785352152749935,0.5356446817381104
count,content_agnostic,linsvc,2-4,202184,0.04591362323428164,0.05177429532748814,0.5397145190010313
count,content_agnostic,linsvc,5-9,48404,0.10885464011238741,0.11813696401594816,0.5328134472485859
count,content_agnostic,linsvc,>=10,21017,0.23100347337869345,0.26508422432121104,0.555138701848725
count,content_agnostic,logreg,1,349286,0.015543136570031436,0.01776382885498547,0.5348127204735451
count,content_agnostic,logreg,2-4,202184,0.04591362323428164,0.051961272899997926,0.5392569610584511
count,content_agnostic,logreg,5-9,48404,0.10885464011238741,0.11946944121839735,0.5346181772774935
count,content_agnostic,logreg,>=10,21017,0.23100347337869345,0.26802793871769715,0.5567163685500987
count,content_agnostic,mlp,1,349286,0.015543136570031436,0.017151412854138917,0.5238762975600361
count,content_agnostic,mlp,2-4,202184,0.04591362323428164,0.05088850577674027,0.5297818819491216
count,content_agnostic,mlp,5-9,48404,0.10885464011238741,0.12045532314033944,0.533241767917894
count,content_agnostic,mlp,>=10,21017,0.23100347337869345,0.2604090844361544,0.5348230283212545
count,content_agnostic,svc,1,349286,0.015543136570031436,0.015444016898584396,0.4910233872857914
count,content_agnostic,svc,2-4,202184,0.04591362323428164,0.04554748497154612,0.48869686731884
count,content_agnostic,svc,5-9,48404,0.10885464011238741,0.11101821309644441,0.49467410914235266
count,content_agnostic,svc,>=10,21017,0.23100347337869345,0.23948672633503215,0.49465676503262346
count,content_agnostic,xgb,1,349286,0.015543136570031436,0.01847889732655699,0.5411831389492978
count,content_agnostic,xgb,2-4,202184,0.04591362323428164,0.055270676332014906,0.5560493697731833
count,content_agnostic,xgb,5-9,48404,0.10885464011238741,0.12621110777169062,0.5522456794877242
count,content_agnostic,xgb,>=10,21017,0.23100347337869345,0.2737819982691283,0.5615706943000268
count,content,histgb,1,349286,0.015543136570031436,0.5190726887998391,0.9583366308885852
count,content,histgb,2-4,202184,0.04591362323428164,0.36036098802427957,0.882706295865308
count,content,histgb,5-9,48404,0.10885464011238741,0.385415916966233,0.8138198226258408
count,content,histgb,>=10,21017,0.23100347337869345,0.5486375356656304,0.7904119732099719
count,content_leavetoxicout,histgb,1,349286,0.015543136570031436,1.0,1.0
count,content_leavetoxicout,histgb,2-4,202184,0.04591362323428164,0.05653433548084377,0.44365990620551654
count,content_leavetoxicout,histgb,5-9,48404,0.10885464011238741,0.14409833137581973,0.6058847409177598
count,content_leavetoxicout,histgb,>=10,21017,0.23100347337869345,0.4033569084806613,0.6987800273008191
count,content_leavetoxicout,lgbm,1,349286,0.015543136570031436,1.0,1.0
count,content_leavetoxicout,lgbm,2-4,202184,0.04591362323428164,0.05711021592254449,0.4428940755175067
count,content_leavetoxicout,lgbm,5-9,48404,0.10885464011238741,0.1439174990463444,0.6064132515237981
count,content_leavetoxicout,lgbm,>=10,21017,0.23100347337869345,0.4056751975093774,0.7001076637663635
count,content_leavetoxicout,linsvc,1,349286,0.015543136570031436,0.02263328247532,0.592904036714003
count,content_leavetoxicout,linsvc,2-4,202184,0.04591362323428164,0.09600616859410217,0.6177927628874055
count,content_leavetoxicout,linsvc,5-9,48404,0.10885464011238741,0.20488092717548845,0.6688757130217196
count,content_leavetoxicout,linsvc,>=10,21017,0.23100347337869345,0.3947883268184558,0.7014671227253512
count,content_leavetoxicout,logreg,1,349286,0.015543136570031436,0.021625443293672948,0.573689486324326
count,content_leavetoxicout,logreg,2-4,202184,0.04591362323428164,0.09594641118771663,0.6192155534297561
count,content_leavetoxicout,logreg,5-9,48404,0.10885464011238741,0.20202506204457205,0.6652388592374068
count,content_leavetoxicout,logreg,>=10,21017,0.23100347337869345,0.3890943319687308,0.6958101105809344
count,content_leavetoxicout,mlp,1,349286,0.015543136570031436,0.9398174162382782,0.9995354686301733
count,content_leavetoxicout,mlp,2-4,202184,0.04591362323428164,0.04817460562895387,0.407274991301544
count,content_leavetoxicout,mlp,5-9,48404,0.10885464011238741,0.12419125442866735,0.5379260313505932
count,content_leavetoxicout,mlp,>=10,21017,0.23100347337869345,0.335698968990476,0.6387194549623783
count,content_leavetoxicout,svc,1,349286,0.015543136570031436,0.8201433233638185,0.9982418081154422
count,content_leavetoxicout,svc,2-4,202184,0.04591362323428164,0.05860300840629511,0.5410463317126195
count,content_leavetoxicout,svc,5-9,48404,0.10885464011238741,0.13992511185390474,0.5754118293247642
count,content_leavetoxicout,svc,>=10,21017,0.23100347337869345,0.33127455405538875,0.6488046174093891
count,content_leavetoxicout,xgb,1,349286,0.015543136570031436,1.0,1.0
count,content_leavetoxicout,xgb,2-4,202184,0.04591362323428164,0.05859277206407358,0.4466113618095678
count,content_leavetoxicout,xgb,5-9,48404,0.10885464011238741,0.14703717672524869,0.6057329908486869
count,content_leavetoxicout,xgb,>=10,21017,0.23100347337869345,0.4194284956899641,0.7060934531177695
count,content,lgbm,1,349286,0.015543136570031436,0.5235616753856608,0.958402707341836
count,content,lgbm,2-4,202184,0.04591362323428164,0.36167629486011255,0.8839377763036479
count,content,lgbm,5-9,48404,0.10885464011238741,0.38561324487567855,0.8140457658708004
count,content,lgbm,>=10,21017,0.23100347337869345,0.543832186199833,0.7890964055875558
count,content,linsvc,1,349286,0.015543136570031436,0.5262893451724399,0.9521833495326882
count,content,linsvc,2-4,202184,0.04591362323428164,0.4102366310964673,0.8923772173844936
count,content,linsvc,5-9,48404,0.10885464011238741,0.4559682444526343,0.8395943317337601
count,content,linsvc,>=10,21017,0.23100347337869345,0.5484234320840808,0.7941125710828734
count,content,logreg,1,349286,0.015543136570031436,0.5348817860111119,0.9578618164120689
count,content,logreg,2-4,202184,0.04591362323428164,0.3894346045902744,0.8930651299391899
count,content,logreg,5-9,48404,0.10885464011238741,0.4366710281775146,0.8352082775692877
count,content,logreg,>=10,21017,0.23100347337869345,0.5382208287689427,0.7890746765722089
count,content,mlp,1,349286,0.015543136570031436,0.47724752739471665,0.923283753149487
count,content,mlp,2-4,202184,0.04591362323428164,0.37091930191090683,0.8667009014541326
count,content,mlp,5-9,48404,0.10885464011238741,0.39080151247019335,0.8047152012720615
count,content,mlp,>=10,21017,0.23100347337869345,0.5397065735251674,0.7836242493772184
count,content,svc,1,349286,0.015543136570031436,0.5615839165510803,0.9467816220447949
count,content,svc,2-4,202184,0.04591362323428164,0.46592227434737765,0.8853050595019747
count,content,svc,5-9,48404,0.10885464011238741,0.4576659549309673,0.8246618556636167
count,content,svc,>=10,21017,0.23100347337869345,0.560358671202913,0.7855381359512484
count,content,xgb,1,349286,0.015543136570031436,0.5640973233775173,0.9602854674946739
count,content,xgb,2-4,202184,0.04591362323428164,0.39338526443832517,0.8896299584652422
count,content,xgb,5-9,48404,0.10885464011238741,0.41144575257723853,0.8202274532878334
count,content,xgb,>=10,21017,0.23100347337869345,0.554872143080838,0.7921374864257374
rate,combined,histgb,5-9,48404,0.10885464011238741,0.38351499110391496,0.8088424186002962
rate,combined,histgb,>=10,21017,0.17148023028976542,0.481746126108726,0.7985588796511315
rate,combined,lgbm,5-9,48404,0.10885464011238741,0.38974685919017554,0.8138417120876666
rate,combined,lgbm,>=10,21017,0.17148023028976542,0.48424499263852183,0.7978854349509753
rate,combined,linsvc,5-9,48404,0.10885464011238741,0.45663944424459196,0.8392422171908482
rate,combined,linsvc,>=10,21017,0.17148023028976542,0.5318655472250713,0.8256580534540098
rate,combined,logreg,5-9,48404,0.10885464011238741,0.45436131710801747,0.8395371375399365
rate,combined,logreg,>=10,21017,0.17148023028976542,0.5296467574865744,0.8244633715111873
rate,combined,mlp,5-9,48404,0.10885464011238741,0.3742207056978649,0.782728374240191
rate,combined,mlp,>=10,21017,0.17148023028976542,0.45399874330266277,0.7623236412409038
rate,combined,svc,5-9,48404,0.10885464011238741,0.46228353063901995,0.8186078553072694
rate,combined,svc,>=10,21017,0.17148023028976542,0.5325418496702351,0.801824758990518
rate,combined,xgb,5-9,48404,0.10885464011238741,0.37049490328592627,0.7971644523147754
rate,combined,xgb,>=10,21017,0.17148023028976542,0.474680190702546,0.7908743948749684
rate,content_agnostic+ban,histgb,5-9,48404,0.10885464011238741,0.13370691788914643,0.5706101723783019
rate,content_agnostic+ban,histgb,>=10,21017,0.17148023028976542,0.22150238178883472,0.5895483543269783
rate,content_agnostic+ban,lgbm,5-9,48404,0.10885464011238741,0.1332706427578489,0.568002235497038
rate,content_agnostic+ban,lgbm,>=10,21017,0.17148023028976542,0.21674558714472342,0.5829673178464582
rate,content_agnostic+ban,linsvc,5-9,48404,0.10885464011238741,0.1294380139730228,0.5530425570956912
rate,content_agnostic+ban,linsvc,>=10,21017,0.17148023028976542,0.21615116674714857,0.5737648218226231
rate,content_agnostic+ban,logreg,5-9,48404,0.10885464011238741,0.12950629552117388,0.5534315647315495
rate,content_agnostic+ban,logreg,>=10,21017,0.17148023028976542,0.21663675608346905,0.5737383384898815
rate,content_agnostic+ban,mlp,5-9,48404,0.10885464011238741,0.12843437201799762,0.5504475250971479
rate,content_agnostic+ban,mlp,>=10,21017,0.17148023028976542,0.2058233005167588,0.5615662354525714
rate,content_agnostic+ban,svc,5-9,48404,0.10885464011238741,0.11880578359996583,0.5196837278558669
rate,content_agnostic+ban,svc,>=10,21017,0.17148023028976542,0.17940510479874994,0.5115460319522206
rate,content_agnostic+ban,xgb,5-9,48404,0.10885464011238741,0.1281513939402279,0.5571363638453586
rate,content_agnostic+ban,xgb,>=10,21017,0.17148023028976542,0.20655274706983778,0.5662610913695375
rate,content_agnostic,histgb,5-9,48404,0.10885464011238741,0.1334128417896251,0.5707833851196935
rate,content_agnostic,histgb,>=10,21017,0.17148023028976542,0.216190450452411,0.5858913120199976
rate,content_agnostic,lgbm,5-9,48404,0.10885464011238741,0.13085534573124175,0.5660589968735028
rate,content_agnostic,lgbm,>=10,21017,0.17148023028976542,0.21331446538955307,0.5792394461688177
rate,content_agnostic,linsvc,5-9,48404,0.10885464011238741,0.12758563386349298,0.5503960265632909
rate,content_agnostic,linsvc,>=10,21017,0.17148023028976542,0.21288791917243174,0.5722799944139608
rate,content_agnostic,logreg,5-9,48404,0.10885464011238741,0.12799389821147195,0.55093512770895
rate,content_agnostic,logreg,>=10,21017,0.17148023028976542,0.2135137543710971,0.5726637477848493
rate,content_agnostic,mlp,5-9,48404,0.10885464011238741,0.1258405565749188,0.5493249014979718
rate,content_agnostic,mlp,>=10,21017,0.17148023028976542,0.20335924237826508,0.5562683578733865
rate,content_agnostic,svc,5-9,48404,0.10885464011238741,0.11346912364987152,0.5047846689641289
rate,content_agnostic,svc,>=10,21017,0.17148023028976542,0.1767469623290397,0.5025444873779672
rate,content_agnostic,xgb,5-9,48404,0.10885464011238741,0.12866247579844053,0.5553430823349778
rate,content_agnostic,xgb,>=10,21017,0.17148023028976542,0.20687118551769657,0.5658383937957486
rate,content,histgb,5-9,48404,0.10885464011238741,0.3851394343364586,0.8107290086165941
rate,content,histgb,>=10,21017,0.17148023028976542,0.48310319340672475,0.7982426731198888
rate,content_leavetoxicout,histgb,5-9,48404,0.10885464011238741,0.1925721274338253,0.6732536405859926
rate,content_leavetoxicout,histgb,>=10,21017,0.17148023028976542,0.33502675941714344,0.7180120619310983
rate,content_leavetoxicout,lgbm,5-9,48404,0.10885464011238741,0.19324418114842512,0.6740501442031547
rate,content_leavetoxicout,lgbm,>=10,21017,0.17148023028976542,0.32764875060910514,0.718155091049443
rate,content_leavetoxicout,linsvc,5-9,48404,0.10885464011238741,0.21297125099310374,0.6822140642850154
rate,content_leavetoxicout,linsvc,>=10,21017,0.17148023028976542,0.36078870407418845,0.7338595719209874
rate,content_leavetoxicout,logreg,5-9,48404,0.10885464011238741,0.21240142004257864,0.6842653290526199
rate,content_leavetoxicout,logreg,>=10,21017,0.17148023028976542,0.3579550817642203,0.7334473911941356
rate,content_leavetoxicout,mlp,5-9,48404,0.10885464011238741,0.1463776068419604,0.5764985938055727
