src,label,arm,model,eval,prev,aucpr,aucpr_sd,roc,roc_sd,f1m,f1m_sd,f1p,f1p_sd,precp,precp_sd,recp,recp_sd
MiniLM,rate,combined,xgb,REAL,0.1278,0.4131,0.007,0.8002,0.0045,0.6713,0.0046,0.434,0.0059,0.4028,0.0174,0.4718,0.0208
MiniLM,rate,combined,xgb,BALANC,0.5,0.793,0.0028,0.7998,0.0025,0.7253,0.0027,0.7279,0.0038,0.7213,0.0063,0.7347,0.0117
MiniLM,rate,content_agnostic+ban,histgb,REAL,0.1278,0.1615,0.0063,0.5783,0.0117,0.5332,0.0049,0.2064,0.0048,0.1803,0.0079,0.2421,0.0111
MiniLM,rate,content_agnostic+ban,histgb,BALANC,0.5,0.5636,0.0024,0.5773,0.0026,0.5604,0.0021,0.555,0.0112,0.5624,0.0036,0.5485,0.0248
MiniLM,rate,content_agnostic+ban,lgbm,REAL,0.1278,0.1593,0.0038,0.5735,0.0075,0.5319,0.0044,0.191,0.0152,0.1809,0.0061,0.2041,0.031
MiniLM,rate,content_agnostic+ban,lgbm,BALANC,0.5,0.5598,0.0029,0.5716,0.0027,0.5562,0.0028,0.5438,0.0104,0.5601,0.0027,0.5289,0.0204
MiniLM,rate,content_agnostic+ban,linsvc,REAL,0.1278,0.1567,0.0047,0.563,0.0064,0.5306,0.0047,0.1856,0.0184,0.1824,0.0102,0.1942,0.0427
MiniLM,rate,content_agnostic+ban,linsvc,BALANC,0.5,0.5549,0.0031,0.5614,0.0031,0.5484,0.0021,0.5599,0.0023,0.5464,0.0022,0.574,0.0048
MiniLM,rate,content_agnostic+ban,logreg,REAL,0.1278,0.1566,0.0044,0.5628,0.0064,0.5306,0.0048,0.1866,0.0114,0.1802,0.0084,0.1954,0.0251
MiniLM,rate,content_agnostic+ban,logreg,BALANC,0.5,0.555,0.0031,0.5613,0.0032,0.5484,0.0021,0.5545,0.003,0.5473,0.0026,0.5619,0.0082
MiniLM,rate,content_agnostic+ban,mlp,REAL,0.1278,0.1526,0.0036,0.5541,0.0075,0.5298,0.0039,0.194,0.0038,0.1757,0.0066,0.2169,0.0083
