auc_pr,auc_roc,f1_macro,precision_pos,recall_pos,f1_pos,kappa,accuracy,baseline_ap,threshold,label,arm,model,fold,n_test
0.07112162948357778,0.6400774914538292,0.5366454311896466,0.1052450558899398,0.1232132071673042,0.11352253756260434,0.07355094720148458,0.9230298442558263,0.04000057981191546,0.07977,count,content_agnostic+ban,histgb,1,124178
0.06942276787250022,0.633129391753058,0.5337582811701653,0.10902934537246049,0.09724179585262734,0.10279876556347771,0.0676362973931891,0.9321055259385721,0.04000057981191546,0.08695,count,content_agnostic+ban,histgb,2,124178
0.06914866179613013,0.6353867342835178,0.5326515528291218,0.10196850393700788,0.1042883027984699,0.1031153578182542,0.06530809046726238,0.9274348113192353,0.04000057981191546,0.08487,count,content_agnostic+ban,histgb,3,124178
0.07166386954058163,0.6395429993817295,0.5361233827431153,0.10947283377095536,0.10912019327561909,0.10929622907844323,0.0722468659183948,0.9288601845737571,0.04000057981191546,0.08336,count,content_agnostic+ban,histgb,4,124178
0.06704204477239312,0.6276429080179636,0.5292727320556296,0.10614081524616199,0.08071658615136876,0.09169906242853876,0.05918120752455236,0.9360278307926461,0.04000057981191546,0.09715,count,content_agnostic+ban,xgb,0,124179
0.06823500730456451,0.6352652025433779,0.5291591812734291,0.10411376333164042,0.08254479565129857,0.09208309938236946,0.058785740980300316,0.9348918487976936,0.04000057981191546,0.09523,count,content_agnostic+ban,xgb,1,124178
0.06619126457142668,0.6265676936251127,0.526826159102735,0.09984439834024897,0.07751157640426817,0.08727190298084551,0.054204705440324075,0.9351495433973812,0.04000057981191546,0.09723,count,content_agnostic+ban,xgb,2,124178
0.06638426472735323,0.6301629534908755,0.5266933702076548,0.09439461883408072,0.08475941211999195,0.08931791662246738,0.05349475852414798,0.9308653706775757,0.04000057981191546,0.09359,count,content_agnostic+ban,xgb,3,124178
0.06871512879657748,0.6317168030292428,0.5313222178771736,0.11018058099973829,0.08475941211999195,0.09581247155211653,0.06322880036896728,0.9360112097150864,0.04000057981191546,0.09571,count,content_agnostic+ban,xgb,4,124178
0.06961934773191425,0.634979866312632,0.5294606620752209,0.11388119421360418,0.07447665056360708,0.09005719849093342,0.06032849946169083,0.9397885310720814,0.04000057981191546,0.09488,count,content_agnostic+ban,lgbm,0,124179
0.07188499445942967,0.6405700005554777,0.5382759783418866,0.11164304864036767,0.11737467284074894,0.11443713809009716,0.07657670057743937,0.9273381758443524,0.04000057981191546,0.08286,count,content_agnostic+ban,lgbm,1,124178
0.07012473035376128,0.6342712233343603,0.5316734697133962,0.11152317880794702,0.08475941211999195,0.09631663234957676,0.06398185179717397,0.9363816457021372,0.04000057981191546,0.09165,count,content_agnostic+ban,lgbm,2,124178
0.06871512997212013,0.635706967796856,0.5313691015742957,0.10407749493129083,0.09301389168512181,0.09823516904103763,0.06285444509820903,0.93169482517032,0.04000057981191546,0.08793,count,content_agnostic+ban,lgbm,3,124178
0.07188737451986925,0.64054739200222,0.5339262307041027,0.11695594125500668,0.08818200120797262,0.10055096418732783,0.06851870358742973,0.9368970349015123,0.04000057981191546,0.08977,count,content_agnostic+ban,lgbm,4,124178
0.05775730008684915,0.5815282339608909,0.5213406354022067,0.09617875647668393,0.059782608695652176,0.07373386295928501,0.04442590035981042,0.9399093244429413,0.04000057981191546,0.12798,count,content_agnostic+ban,mlp,0,124179
0.053804989072298796,0.5661786620494621,0.5177490683259013,0.0744004919040787,0.07308234346688142,0.07373552711761121,0.03550131718958727,0.9265570390890496,0.04000057981191546,0.11561,count,content_agnostic+ban,mlp,1,124178
0.058498993671091355,0.5924195706291042,0.5191449768305747,0.08405172413793104,0.0628145762029394,0.07189768406498445,0.03901757737938061,0.9351334374849007,0.04000057981191546,0.10237,count,content_agnostic+ban,mlp,2,124178
0.05425271723416197,0.5769717053643544,0.5137622972497443,0.08435643564356436,0.042883027984699014,0.056860651361452214,0.030727672172514375,0.9430978112064939,0.04000057981191546,0.14397,count,content_agnostic+ban,mlp,3,124178
0.056716269047404386,0.5812319044492925,0.5227681742849135,0.0906515580736544,0.07086772699818804,0.07954802259887006,0.04606518041224561,0.9344006184670393,0.04000057981191546,0.10427,count,content_agnostic+ban,mlp,4,124178
0.04778185380813636,0.49688292799039896,0.523369064891885,0.08500303582270795,0.08454106280193237,0.08477141992128367,0.04673842389681149,0.9269683279781605,0.04000057981191546,-0.99962,count,content_agnostic+ban,svc,0,124179
0.042840978849587694,0.4690955330810177,0.5193153765362618,0.07571801566579635,0.0817394805717737,0.07861361215993803,0.03869175904525035,0.923360015461676,0.04000057981191546,-0.99964,count,content_agnostic+ban,svc,1,124178
0.044219227853700666,0.4799602703526306,0.5168446646382967,0.0726119860912252,0.07147171330783168,0.07203733766233766,0.03369183028861078,0.9263476622268034,0.04000057981191546,-0.99961,count,content_agnostic+ban,svc,2,124178
0.04446793224686432,0.4800605598142259,0.5176164460350322,0.07361719060883407,0.07449164485604994,0.07405183628539978,0.035234301979272686,0.9254859959090982,0.04000057981191546,-0.99962,count,content_agnostic+ban,svc,3,124178
0.046677477815379134,0.4876240953418448,0.5225185031229032,0.08228945846984005,0.08596738473927924,0.08408822371012209,0.04505646070642655,0.9250914010533267,0.04000057981191546,-0.99965,count,content_agnostic+ban,svc,4,124178
0.2802988724307963,0.8636319428260135,0.6328413120866236,0.2938946528332003,0.2964975845410628,0.29519038076152304,0.2656832217477949,0.9433559619581411,0.04000057981191546,0.16356,count,content,logreg,0,124179
0.2781876234984163,0.859115032590879,0.6304988404243397,0.28977386431859115,0.2915240587880008,0.290646326776395,0.26099796085172167,0.9430817052940135,0.04000057981191546,0.16303,count,content,logreg,1,124178
0.2861740634524451,0.8625391762596674,0.6348151430110757,0.3150067598017125,0.28145762029394,0.29728867623604466,0.2697212212946195,0.9467780122082816,0.04000057981191546,0.18137,count,content,logreg,2,124178
0.29053983451308946,0.8630679254180932,0.6364704365950403,0.2975657254138267,0.3076303603784981,0.30251435359334783,0.27294939899981274,0.9432588703312986,0.04000057981191546,0.16302,count,content,logreg,3,124178
0.27947585770755523,0.8616381214640073,0.630848507990684,0.28688205527442584,0.2967586068049124,0.2917367639782286,0.2617059830505364,0.9423649921886325,0.04000057981191546,0.16314,count,content,logreg,4,124178
0.28544077258671713,0.8607351606404163,0.6385317102465764,0.30501698980611636,0.3071658615136876,0.3060876541971718,0.2770637930690708,0.9442820444680663,0.04000057981191546,-0.60861,count,content,linsvc,0,124179
0.2813293043914883,0.8564562501771069,0.6345354590498913,0.29646544876886416,0.30058385343265553,0.2985104468659402,0.2690723776588143,0.9434924060622655,0.04000057981191546,-0.60823,count,content,linsvc,1,124178
0.29120363670285454,0.8594348937141377,0.6399242866808318,0.3055719629848395,0.31246225085564727,0.30897869798924943,0.2798523466687802,0.9440963777802831,0.04000057981191546,-0.60915,count,content,linsvc,2,124178
0.29292847973660113,0.8583711036093453,0.6391075352689968,0.32019378991411585,0.2927320314072881,0.30584770719394194,0.27827274473045627,0.9468504888144438,0.04000057981191546,-0.58742,count,content,linsvc,3,124178
0.28373637997630385,0.8587264093439059,0.6357642655865854,0.316013437849944,0.2840748943023958,0.29919423240033927,0.271609984316628,0.9467699592520414,0.04000057981191546,-0.58544,count,content,linsvc,4,124178
0.4423676766111634,0.9281911578221546,0.7115652778478812,0.42907342334011467,0.4669887278582931,0.4472289156626506,0.42317557913211845,0.9538166678746004,0.04000057981191546,0.20597,count,content,histgb,0,124179
0.4507640778842539,0.9276875447342027,0.7155448321361829,0.4360916143332102,0.47533722568955106,0.4548694730758116,0.4311356743768031,0.9544283206365056,0.04000057981191546,0.20776,count,content,histgb,1,124178
0.4509395477915947,0.9290539503327933,0.7128586789953557,0.4283633715638085,0.4737265955305013,0.4499043977055449,0.425781203457799,0.9536632897936833,0.04000057981191546,0.20687,count,content,histgb,2,124178
